Candidato,Quantidade,LifeTime,inv_cost ,O&M       
ASU115:023-1,1,20,2,0.1
ASUOLA115-01,2,30,3,0.1
ASUASU 23-01,1,20,4,0.1
ASU023:000-1,1,20,5,0.1
COR230:013-1,1,20,2,0.1
COR230:013-2,1,20,2,0.1
COR230:013-3,1,20,2,0.1
COR230:013-4,1,20,2,0.1
COROLA230-01,1,20,2,0.1
COROLA230-02,1,20,2,0.1
COR230:013-5,1,20,2,0.1
COR230:013-6,1,20,2,0.1
BCU013:230-1,1,20,2,0.1
BLE115:013-1,1,20,2,0.1
BLE115:013-2,1,20,2,0.1
BLELPZ115-01,1,20,2,0.1
BLEPAA115-01,1,20,2,0.1
BLERCO115-01,1,20,2,0.1
BLELFI115-01,1,20,2,0.1
ETR115:034-1,1,20,2,0.1
ETR115:034-2,1,20,2,0.1
ETRCAR115-01,1,20,2,0.1
ETRERE115-01,1,20,2,0.1
ETRCOR115-01,1,20,2,0.1
ETRSNT115-01,1,20,2,0.1
ETRBUV115-01,1,20,2,0.1
ETRTOS115-01,1,20,2,0.1
LPZ115:013-1,1,20,2,0.1
LPZ115:013-2,1,20,2,0.1
LPZPUP115-01,1,20,2,0.1
LPZCOR115-01,1,20,2,0.1
OLAPUP115-01,1,20,2,0.1
OLAPUP115-02,1,20,2,0.1
OLARCO115-01,1,20,2,0.1
OLARFO115-01,1,20,2,0.1
OLAAST115-01,1,20,2,0.1
OLA115:001-1,1,20,2,0.1
OLA115:001-2,1,20,2,0.1
OLA013:001-1,1,20,2,0.1
OLAELP230-01,1,20,2,0.1
OLAELP230-02,1,20,2,0.1
OLATCB230-01,1,20,2,0.1
OLA230:001-1,1,20,2,0.1
OLA230:001-2,1,20,2,0.1
PAA115:013-1,1,20,2,0.1
PAAPUP115-01,1,20,2,0.1
PUPPUP115-01,1,20,2,0.1
PUP115:013-1,1,20,2,0.1
PUP115:013-2,1,20,2,0.1
PUP115:013-3,1,20,2,0.1
PUP115:013-4,1,20,2,0.1
PUPERE115-01,1,20,2,0.1
PUPERE115-02,1,20,2,0.1
PUPCOR115-01,1,20,2,0.1
PUP115:013-5,1,20,2,0.1
PUP115:013-6,1,20,2,0.1
PUP115:013-7,1,20,2,0.1
