$From bus,To bus,Circuit number,Owner,Resistance,Reactance,Min. tap,Max. tap,Min. angle,Max. angle,Control type,Controlled bus,Nominal rating,Emergency rating,Outage prob.,Ref. cost,(........Name..........),Fixed angle,Min. limit of nominal rating,Max limit of nominal rating,Min limit of emergency rating,Max limit of emergency rating,Investment cost,Currency,O&M cost,Discount rate,Lifetime,Belongs to the study,dec_type,min_date,min_date,max_date,max_date
73101,73102,2,A,0.54,27.17,0.8,1.2,0.0,0.0,1,73101,33.95,33.95,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73103,73104,2,A,0.87,17.33,0.8,1.2,0.0,0.0,1,73103,32.3,32.3,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73114,73115,3,A,6.07,121.34,0.8,1.2,0.0,0.0,1,73114,9.4,9.4,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73114,73115,4,A,4.13,82.68,0.8,1.2,0.0,0.0,1,73114,14.0,14.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73116,73117,3,A,1.59,31.74,0.8,1.2,0.0,0.0,1,73116,40.0,40.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73139,73140,2,A,0.0,2.21,0.8,1.2,0.0,0.0,1,73139,25.2,25.2,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73149,73147,2,A,2.49,49.77,0.8,1.2,0.0,0.0,1,73149,30.0,30.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73202,73203,2,A,3.01,60.12,0.8,1.2,0.0,0.0,1,73202,20.0,20.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73202,73243,2,A,2.48,49.64,0.8,1.2,0.0,0.0,1,73202,33.6,33.6,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73206,73207,3,A,2.48,49.6,0.8,1.2,0.0,0.0,1,73206,30.0,30.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73206,73207,4,A,2.48,49.6,0.8,1.2,0.0,0.0,1,73206,30.0,30.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73208,73209,2,A,1.56,31.26,0.8,1.2,0.0,0.0,1,73208,30.0,30.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73220,73242,2,A,5.06,101.17,0.8,1.2,0.0,0.0,1,73220,10.0,10.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73235,73236,2,A,0.692,13.8,0.8,1.2,0.0,0.0,1,73235,30.0,30.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73308,73309,2,A,2.56,51.27,0.8,1.2,0.0,0.0,1,73308,30.0,30.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73316,73317,3,A,2.35,46.94,0.8,1.2,0.0,0.0,1,73316,20.0,20.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73319,73320,2,A,0.0,30.273,0.9,1.1,0.0,0.0,3,73319,27.5,27.5,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73321,73322,2,A,0.0,21.304,0.8,1.2,0.0,0.0,1,73321,26.8,26.8,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73118,1,3,A,-0.039,-0.792,0.8,1.2,0.0,0.0,1,73118,100.0,100.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73118,1,5,A,-0.039,-0.792,0.8,1.2,0.0,0.0,1,73118,100.0,100.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73120,1,3,A,0.364,7.285,0.9,1.1,0.0,0.0,3,73120,100.0,100.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
73120,1,5,A,0.364,7.285,0.9,1.1,0.0,0.0,3,73120,100.0,100.0,0.0,0.0,,0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023,1,2200
